course_code,prerequisite_str
CS3103,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2105:D, EE3204:D, EE3204E:D, EE4204:D)"
CS3203,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2103:D, CS2103T:D, CS2113:D, CS2113T:D)"
CS3210,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2100:D, CG2007:D, EE2028:D, CG2028:D, EE2024:D)"
CS3211,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2106:D, CG2271:D)"
CS3213,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2103T:D, CS2103:D, CS2113T:D, CS2113:D)"
CS3216,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2103:D, CS2103T:D, CS2113:D, CS2113T:D)"
CS3217,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2103:D, CS2103T:D, CS2113:D, CS2113T:D)"
CS3219,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) YSC3232:D, CS2103:D, CS2103T:D, CS2113T:D, CS2113:D)"
CS3223,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2010:D, CS2020:D, CS2040S:D, CS2040:D, CS2040C:D AND COURSES (1) CS2102:D, IT2002:D)"
CS3230,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2010:D, YSC2229:D, CS2020:D, CS2040S:D, CS2040:D, CS2040C:D AND COURSES (1) CS1231:D, CS1231S:D, MA1100T:D, MA1100:D)"
CS3230R,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1102:D, CG1102:D, CS1102C:D, CS1102S:D, CG1102:D, CG1103:D, CS2010:D, CS2020:D AND COURSES (1) CS1231:D, CS1231S:D, MA1100:D)"
CS3231,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1231:D, CS1231S:D, MA1100T:D, MA1100:D AND COURSES (1) CS2040:D, CS2040S:D, CS2040C:D)"
CS3233,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ((COURSES (1) CS2030S:A-, CS2030:A- AND COURSES (1) CS2040S:A-, CS2040:A-, CS2040C:A-) OR (COURSES (1) CS2010:A-, CS2020:A-))"
CS3234,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1231:D, CS1231S:D, MA1100T:D, MA1100:D)"
CS3235,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2105:D, EE3204:D, EE4204:D AND COURSES (1) CS2106:D, YSC3217:D, CG2271:D AND COURSES (1) CS2107:D)"
CS3236,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) MA1100:D,MA1100T:D,CS1231:D,CS1231S:D
	AND
	COURSES (1) EE2012:D,EE2012A:D,MA2216:D,MA2116:D,ST2131:D,ST2334:D
)"
CS3237,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EE2028:D, EE2024:D, CG2028:D, CS2100:D AND COURSES (1) CS1010:D, CS1101S:D, CS1010X:D, CS1010E:D, CS1010J:D, CS1010S:D, CS1010A:D)"
CS3241,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2020:D, CS2010:D OR (COURSES (1) CS2030S:D, CS2030:D, CS2113:D, CS2113T:D AND COURSES (1) CS2040:D, YSC2229:D, CS2040S:D, CS2040C:D))"
CS3241R,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS2020:D, CS1020:D, CS1020E:D, CS1102:D, CG1102:D, CG1103:D, CS1102S:D, CS1102C:D)"
CS3243,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES (1) CS2040:D, CS2040C:D, CS2040S:D, YSC2229:D AND COURSES (1) CS1231S:D, CS1231:D, MA1100T:D, MA1100:D"
